age_with_avg,pclass,rate
33,1,0.75
39,1,0.8
60,1,0.6667
27,1,0.75
51,1,0.6667
19,1,0.6
55,1,0
41,1,1
48,1,1
30,1,0.8333
44,1,0.6667
21,1,0.6667
50,1,0.4
42,1,0.75
46,1,0
61,1,0
58,1,0.6
4,1,1
36,1,0.7778
40,1,0.6
28,1,0.5
0.9200000166893005,1,1
31,1,0.6
45,1,0.4
15,1,1
24,1,0.7143
30,1,0.4667
17,1,1
64,1,0
43,1,1
37,1,0.3333
70,1,0
38,1,0.6667
16,1,1
45.5,1,0
65,1,0
63,1,1
23,1,1
62,1,0.3333
47,1,0.2
2,1,0
71,1,0
32,1,1
56,1,0.5
49,1,0.8
52,1,0.75
14,1,1
11,1,1
18,1,0.75
29,1,0.3333
26,1,1
80,1,1
22,1,0.8
54,1,0.5
35,1,1
25,1,0.6667
34,1,1
53,1,1
34,2,0.5
25,2,0.2857
29,2,0.5
7,2,1
32.5,2,0.5
6,2,1
54,2,0.25
13,2,1
4,2,1
60,2,0
3,2,1
45,2,1
70,2,0
43,2,0
33,2,0.6667
30,2,0.375
27,2,0.3333
36,2,0.4286
32,2,0.5
30,2,0.3636
42,2,0.6
23,2,0.1429
8,2,1
44,2,0
31,2,0.4
2,2,1
66,2,0
26,2,0
51,2,0
46,2,0
1,2,1
48,2,0.5
36.5,2,0
52,2,0
16,2,0
39,2,0
17,2,1
0.6700000166893005,2,1
41,2,1
14,2,1
5,2,1
62,2,1
22,2,1
55,2,1
40,2,1
38,2,0
24,2,0.6
59,2,0
19,2,0.5
35,2,0.3333
18,2,0.3333
28,2,0.5556
0.8299999833106995,2,1
57,2,0
37,2,0
47,2,0
21,2,0.25
50,2,0.75
4,3,0.5714
40.5,3,0
44,3,0.25
14.5,3,0
20.5,3,0
34.5,3,0
30,3,0.1818
55.5,3,0
49,3,0
19,3,0.2143
15,3,0.75
30.5,3,0
29,3,0.3636
7,3,0
0.41999998688697815,3,1
18,3,0.25
42,3,0
2,3,0.1429
32,3,0.4167
21,3,0.1176
6,3,0.5
37,3,0
9,3,0.25
38,3,0.25
20,3,0.2
3,3,0.6667
1,3,0.6
40,3,0
16,3,0.25
28,3,0
26,3,0.2857
45,3,0.2
14,3,0.25
59,3,0
51,3,0
47,3,0
17,3,0.125
50,3,0
10,3,0
24.5,3,0
39,3,0.1667
0.75,3,1
28.5,3,0
30,3,0.25
13,3,1
61,3,0
70.5,3,0
43,3,0
27,3,0.75
48,3,0
25,3,0.1538
74,3,0
36,3,0.1667
24,3,0.3077
45.5,3,0
5,3,1
63,3,1
31,3,0.4286
41,3,0
23.5,3,0
11,3,0
12,3,1
65,3,0
22,3,0.25
23,3,0.2
34,3,0
8,3,0
35,3,0.1667
33,3,0.125
